PooledfundId,PooledFundName,AllocationSourceId,AllocationYear,ChfProjectCode,PlannedMen,PlannedWomen,PlannedBoys,PlannedGirls,PlannedTotal,ActualMen,ActualWomen,ActualBoys,ActualGirls,ActualTotal
23,Afghanistan,1,2014,AFG-14/ER/MS/INGO/303,2901,3215,3342,3342,12800,2178,2278,4112,4133,12701
23,Afghanistan,1,2014,AFG-14/ER/MS/UN/305,18900,18900,28350,28350,94500,32784,32784,49176,49176,163920
23,Afghanistan,1,2014,AFG-14/ER/MS/UN/306,7000,7000,28000,28000,70000,37754,36272,52137,50090,176253
23,Afghanistan,1,2014,AFG-14/ER/MS/UN/308,1130,959,1496,1275,4860,1021,1094,2045,1695,5855
23,Afghanistan,1,2015,AFG-15/O580/SRA/CCS/UN/312,40,40,0,0,80,20,20,0,0,40
23,Afghanistan,2,2015,AFG-15/O580/SA1/H/NGO/320,5681,2952,2099,2098,12830,10755,2690,3362,1865,18672
23,Afghanistan,2,2015,AFG-15/O580/SA1/MS/INGO/322,15223,15223,27062,27062,84570,16210,16210,28816,28816,90052
23,Afghanistan,2,2015,AFG-15/O580/SA1/MS/INGO/323,8492,8751,19118,18639,55000,10967,11300,24689,24071,71027
23,Afghanistan,2,2015,AFG-15/O580/SA1/H/INGO/325,4204,4376,1051,1094,10725,4376,2485,2056,1482,10399
23,Afghanistan,2,2015,AFG-15/O580/SA1/WASH/INGO/326,12202,8390,4840,2493,27925,20951,14100,10350,5982,51383
23,Afghanistan,2,2015,AFG-15/O580/SA1/N/INGO/327,115,45,0,0,160,189,71,0,0,260
23,Afghanistan,2,2015,AFG-15/O580/SA1/H/INGO/328,16104,3846,13928,4672,38550,17684,3940,15744,4460,41828
23,Afghanistan,2,2015,AFG-15/O580/SA1/WASH/INGO/330,3166,2923,2294,2117,10500,3166,2923,2294,2117,10500
23,Afghanistan,2,2015,AFG-15/O580/SA1/WASH/INGO/331,8097,8097,8097,8096,32387,8203,8203,8202,8202,32810
23,Afghanistan,2,2015,AFG-15/O580/SA1/H/UN/332,346649,360267,86546,90033,883495,374156,393343,86343,105531,959373
23,Afghanistan,2,2015,AFG-15/O580/SA1/H/INGO/338,37702,37702,9425,9425,94254,19491,45825,17561,17765,100642
23,Afghanistan,2,2015,AFG-15/O580/SA1/H/INGO/340,25391,27816,12573,11658,77438,51858,34158,21219,19661,126896
23,Afghanistan,2,2015,AFG-15/O580/SA1/H/INGO/342,64309,43996,10990,11101,130396,42762,44283,15322,15075,117442
23,Afghanistan,2,2015,AFG-15/O580/SA1/WASH/INGO/344,6449,8520,2610,2841,20420,4625,4103,4231,3027,15986
23,Afghanistan,2,2015,AFG-15/O580/SA1/H/INGO/350,12227,11617,3055,2903,29802,30325,31500,16268,14165,92258
23,Afghanistan,2,2015,AFG-15/O580/SA1/N/UN/352,0,0,22297,21423,43720,0,0,30730,29525,60255
23,Afghanistan,2,2015,AFG-15/O580/SA1/WASH/INGO/355,8288,7868,6064,5780,28000,6610,8556,6947,7651,29764
23,Afghanistan,2,2015,AFG-15/O580/SA1/N/UN/357,0,0,12291,11809,24100,0,0,12604,12109,24713
23,Afghanistan,2,2015,AFG-15/O580/SA1/MS/INGO/359,1656,1627,2944,2952,9179,1638,1738,2913,2888,9177
23,Afghanistan,2,2015,AFG-15/O580/SA1/WASH/UN/360,15683,15073,3643,3501,37900,16294,15660,3784,3638,39376
23,Afghanistan,2,2015,AFG-15/O580/SA1/MS/INGO/363,897,880,7704,6918,16399,602,547,8189,6335,15673
23,Afghanistan,2,2015,AFG-15/O580/SA1/N/INGO/364,27,747,20456,19294,40524,66,357,26563,28257,55243
23,Afghanistan,2,2015,AFG-15/O580/SA1/WASH/UN/366,24000,24000,26000,26000,100000,26833,26833,29070,29070,111806
23,Afghanistan,2,2015,AFG-15/O580/SA1/MS/UN/367,2156,2156,3832,3832,11976,3172,2934,5112,4533,15751
23,Afghanistan,2,2015,AFG-15/O580/SA1/MS/UN/372,13675,13675,20513,20513,68376,13675,13675,20513,20513,68376
23,Afghanistan,2,2015,AFG-15/O580/SA1/WASH/INGO/376,13782,13242,34456,33104,94584,18743,18742,19507,18008,75000
23,Afghanistan,2,2015,AFG-15/O580/SA1/MS/UN/381,6153,6153,24613,24613,61532,22454,21573,31007,29790,104824
23,Afghanistan,2,2015,AFG-15/3481/SA2/H/INGO/387,10482,10464,1759,1759,24464,9210,6807,4288,4002,24307
23,Afghanistan,2,2015,AFG-15/3481/SA2/H/NGO/398,1425,1390,273,276,3364,2954,1846,662,552,6014
23,Afghanistan,2,2015,AFG-15/3481/SA2/ESNFI/INGO/399,2298,2490,3750,4062,12600,1739,2221,2353,3249,9562
23,Afghanistan,2,2015,AFG-15/3481/SA2/N/UN/400,0,0,7543,7247,14790,0,0,7746,7442,15188
23,Afghanistan,2,2015,AFG-15/3481/SA2/WASH-FSAC/INGO/401,3423,3699,3959,4292,15373,3217,3224,843,918,8202
23,Afghanistan,2,2015,AFG-15/3481/SA2/H/INGO/402,13166,10768,3288,2690,29912,2563,440,199,91,3293
23,Afghanistan,2,2015,AFG-15/3481/SA2/APC/NGO/404,23460,24840,44160,45540,138000,23667,26892,57188,40796,148543
23,Afghanistan,2,2015,AFG-15/3481/SA2/WASH/INGO/405,6993,9303,3045,3934,23275,4935,5476,6158,6725,23294
23,Afghanistan,2,2015,AFG-15/3481/SA2/FSAC/INGO/406,3378,3245,4476,4301,15400,2324,2489,4956,4782,14551
23,Afghanistan,2,2015,AFG-15/3481/SA2/MS/INGO/410,9476,9821,2358,2455,24110,5563,6511,6171,5986,24231
23,Afghanistan,2,2015,AFG-15/3481/SA2/H/NGO/411,12721,13239,10407,10833,47200,10530,21699,12575,10360,55164
23,Afghanistan,2,2015,AFG-15/3481/SA2/APC-H/INGO/422,14900,14749,3753,4014,37416,5331,15389,5434,5062,31216
23,Afghanistan,2,2015,AFG-15/3481/SA2/WASH/INGO/425,1900,2000,1400,1700,7000,983,1059,2258,2433,6733
23,Afghanistan,2,2015,AFG-15/3481/SA2/N/UN/431,0,0,19421,18638,38059,0,0,19400,18639,38039
23,Afghanistan,2,2015,AFG-15/3481/SA2/ESNFI/INGO/432,2699,2699,4049,4049,13496,366,486,733,757,2342
23,Afghanistan,2,2015,AFG-15/3481/SA2/ESNFI/INGO/434,3150,3150,3850,3850,14000,2863,2980,3500,3642,12985
23,Afghanistan,2,2015,AFG-15/3481/SA2/FSAC/INGO/440,5985,5985,7315,7315,26600,5799,6036,7087,7377,26299
23,Afghanistan,2,2015,AFG-15/3481/SA2/APC/INGO/441,1200,1700,1250,1250,5400,2906,3028,2767,2411,11112
23,Afghanistan,2,2015,AFG-15/3481/SA2/MS/INGO/444,11375,11744,26669,28923,78711,10331,10667,24222,26274,71494
23,Afghanistan,2,2015,AFG-15/3481/SA2/MS/UN/450,1338,585,1715,544,4182,2183,506,2080,411,5180
23,Afghanistan,2,2015,AFG-15/3481/SA2/APC/INGO/451,233,193,1494,1513,3433,246,300,1580,1512,3638
23,Afghanistan,1,2015,AFG-15/3481/AFG/CCS/UN/454,1000,1000,0,0,2000,4149,4149,0,0,8298
23,Afghanistan,1,2015,AFG-15/3481/AFG/ESNFI/INGO/458,2047,1984,1497,1436,6964,990,1080,1313,1324,4707
23,Afghanistan,1,2015,AFG-15/3481/AFG/ESNFI/INGO/459,3191,3483,4034,4267,14975,3191,3483,4034,4267,14975
23,Afghanistan,1,2015,AFG-15/3481/AFG/ESNFI/INGO/461,1633,1746,2653,2858,8890,1406,1495,3606,3371,9878
23,Afghanistan,1,2015,AFG-15/3481/AFG/ESNFI/INGO/464,4417,3914,1004,703,10038,1402,1600,2009,1653,6664
23,Afghanistan,1,2015,AFG-15/3481/AFG/ESNFI/INGO/465,1231,1231,1846,1846,6154,1123,1983,2011,1194,6311
23,Afghanistan,1,2015,AFG-15/3481/AFG/ESNFI/INGO/469,494,495,604,605,2198,387,404,474,492,1757
23,Afghanistan,1,2015,AFG-15/3481/AFG/ESNFI/INGO/471,1641,1641,2461,2461,8204,1995,2137,4630,3830,12592
23,Afghanistan,1,2015,AFG-15/3481/AFG-15/3481/RA3//ESNFI/INGO/477,2520,2520,643,617,6300,1170,1182,2856,2307,7515
23,Afghanistan,2,2016,AFG-16/3481/SA1/H/INGO/481,6743,2816,2605,1921,14085,8762,3757,1656,1173,15348
23,Afghanistan,2,2016,AFG-16/3481/SA1/H/UN/482,169208,162439,175975,169208,676830,164492,157912,171070,164492,657966
23,Afghanistan,2,2016,AFG-16/3481/SA1/H/INGO/485,15892,3469,13880,3725,36966,18008,2935,13030,4208,38181
23,Afghanistan,2,2016,AFG-16/3481/SA1/N/INGO/486,260,110,0,0,370,184,83,0,0,267
23,Afghanistan,2,2016,AFG-16/3481/SA1/H/NGO/488,70628,73232,22744,23396,190000,14926,7004,4100,3478,29508
23,Afghanistan,2,2016,AFG-16/3481/SA1/ESNFI-FSAC-N-APC-WASH/INGO/491,23,23,23,23,92,23,23,23,23,92
23,Afghanistan,2,2016,AFG-16/3481/SA1/ESNFI/INGO/492,1120,1120,1680,1680,5600,821,943,1553,1473,4790
23,Afghanistan,2,2016,AFG-16/3481/SA1/ESNFI-FSAC/INGO/493,4000,4000,10000,10000,28000,4840,5504,7841,7314,25499
23,Afghanistan,2,2016,AFG-16/3481/SA1/H/NGO/502,7232,3276,2808,2340,15656,8316,1810,1388,1030,12544
23,Afghanistan,2,2016,AFG-16/3481/SA1/H/INGO/505,33101,7247,4498,3474,48320,41835,10479,8726,5449,66489
23,Afghanistan,2,2016,AFG-16/3481/SA1/H/NGO/506,11703,6120,7998,790,26611,16423,4480,5309,3151,29363
23,Afghanistan,2,2016,AFG-16/3481/SA1/APC/INGO/507,1000,7000,600,3000,11600,2366,14107,884,7042,24399
23,Afghanistan,2,2016,AFG-16/3481/SA1/H/NGO/509,52747,50678,64468,61941,229834,41051,71068,35631,34419,182169
23,Afghanistan,2,2016,AFG-16/3481/SA1/ESNFI-FSAC-N-APC-WASH/INGO/511,1,1,1,1,4,1,1,1,1,4
23,Afghanistan,2,2016,AFG-16/3481/SA1/ESNFI-FSAC-N-APC-WASH/INGO/514,1,1,1,1,4,1,1,1,1,4
23,Afghanistan,2,2016,AFG-16/3481/SA1/H/INGO/515,20577,20454,4950,5076,51057,23529,47871,15030,15192,101622
23,Afghanistan,2,2016,AFG-16/3481/SA1/FSAC-ESNFI/NGO/517,3505,3502,3499,3494,14000,3259,3359,5032,4856,16506
23,Afghanistan,2,2016,AFG-16/3481/SA1/H/NGO/518,3483,1160,826,274,5743,1422,1405,1504,1111,5442
23,Afghanistan,2,2016,AFG-16/3481/SA1/FSAC-WASH/INGO/531,3612,3612,4788,4788,16800,3612,3612,4788,4788,16800
23,Afghanistan,2,2016,AFG-16/3481/SA2/ESNFI/INGO/3259,326,308,385,379,1398,326,308,385,379,1398
23,Afghanistan,2,2016,AFG-16/3481/SA2/N/UN/3264,74,74,6971,6698,13817,82,6527,3264,3042,12915
23,Afghanistan,2,2016,AFG-16/3481/SA2/ESNFI/INGO/3266,519,519,608,608,2254,568,622,838,791,2819
23,Afghanistan,2,2016,AFG-16/3481/SA2/FSAC/INGO/3267,2121,1838,1626,1485,7070,2075,2171,3526,2935,10707
23,Afghanistan,2,2016,AFG-16/3481/SA2/APC/NGO/3272,2755,4932,693,776,9156,3557,7639,628,1077,12901
23,Afghanistan,2,2016,AFG-16/3481/SA2/H/NGO/3285,20210,19545,3904,3754,47413,13998,12168,6021,5800,37987
23,Afghanistan,2,2016,AFG-16/3481/SA2/APC/INGO/3294,1,1,1,1,4,469,157,0,0,626
23,Afghanistan,2,2016,AFG-16/3481/SA2/APC/INGO/3301,27384,27385,34855,34855,124479,33943,32277,68083,59511,193814
23,Afghanistan,2,2016,AFG-16/3481/SA2/H/INGO/3327,24281,16173,6063,4042,50559,4998,1456,756,534,7744
23,Afghanistan,2,2016,AFG-16/3481/SA2/APC/NGO/3328,23942,26866,35884,35885,122577,34817,32953,37763,35948,141481
23,Afghanistan,2,2016,AFG-16/3481/SA2/APC/INGO/3334,18218,6074,16035,8258,48585,9271,3741,62156,24773,99941
23,Afghanistan,2,2016,AFG-16/3481/SA2/WASH-H/INGO/3342,12051,12499,3004,3125,30679,10927,14468,8770,7696,41861
23,Afghanistan,2,2016,AFG-16/3481/SA2/FSAC/INGO/3347,2797,2320,3332,3451,11900,2737,2933,3964,3978,13612
23,Afghanistan,2,2016,AFG-16/3481/SA2/FSAC/INGO/3357,908,990,1919,1784,5601,908,990,1919,1784,5601
23,Afghanistan,2,2016,AFG-16/3481/SA2/WASH/INGO/3397,14141,12613,25226,24460,76440,3449,3813,8421,8010,23693
23,Afghanistan,2,2016,AFG-16/3481/SA2/H/UN/3412,76416,73764,75814,71995,297989,75237,72626,74645,70885,293393
23,Afghanistan,2,2016,AFG-16/3481/SA2/ESNFI/INGO/3420,241,263,305,321,1130,550,602,752,785,2689
23,Afghanistan,2,2016,AFG-16/3481/SA2/FSAC/INGO/3421,3363,3471,6573,6613,20020,4863,4890,6716,6646,23115
23,Afghanistan,2,2016,AFG-16/3481/SA2/H/NGO/3423,4385,1253,696,626,6960,2591,1325,1656,1049,6621
23,Afghanistan,2,2016,AFG-16/3481/SA2/FSAC/UN/3425,5730,5730,14350,14300,40110,5730,5730,14350,14300,40110
23,Afghanistan,2,2016,AFG-16/3481/SA2/H/INGO/3448,3140,1954,925,840,6859,5076,1448,1238,623,8385
23,Afghanistan,2,2016,AFG-16/3481/SA2/APC-H/INGO/3487,18264,18992,13199,13737,64192,20932,34007,15263,27609,97811
23,Afghanistan,2,2016,AFG-16/3481/SA2/N/UN/3488,0,30100,21616,21084,72800,0,70131,22364,26053,118548
23,Afghanistan,2,2016,AFG-16/3481/SA2/ESNFI/INGO/3504,7,7,7,7,28,8,9,9,9,35
23,Afghanistan,2,2016,AFG-16/3481/SA2/WASH/NGO/3534,689,886,3937,4330,9842,1404,1413,4318,3267,10402
23,Afghanistan,2,2016,AFG-16/3481/SA2/ESNFI/INGO/3535,232,230,429,322,1213,230,231,431,324,1216
23,Afghanistan,2,2016,AFG-16/3481/SA2/H-APC/INGO/3571,27069,26262,6598,8348,68277,20866,29006,12367,12519,74758
23,Afghanistan,2,2016,AFG-16/3481/SA2/APC/NGO/3598,29379,29381,35912,35911,130583,24590,20100,45437,47996,138123
23,Afghanistan,2,2016,AFG-16/3481/SA2/N/INGO/3605,2375,2942,2740,2700,10757,2854,4315,5082,4922,17173
23,Afghanistan,2,2016,AFG-16/3481/SA2/N/INGO/3606,127,49,0,0,176,202,78,0,0,280
23,Afghanistan,2,2016,AFG-16/3481/SA2/N/INGO/3607,2494,2446,4297,4403,13640,2260,4199,4074,3872,14405
23,Afghanistan,2,2016,AFG-16/3481/SA2/WASH/INGO/3613,3959,5278,1847,2111,13195,2240,2288,4828,3834,13190
23,Afghanistan,2,2016,AFG-16/3481/SA2/H/INGO/3658,380,420,992,1008,2800,703,714,907,944,3268
23,Afghanistan,2,2016,AFG-16/3481/SA2/FSAC/INGO/3662,2835,3045,2100,2520,10500,3385,3151,2801,2334,11671
23,Afghanistan,2,2016,AFG-16/3481/SA2/N/INGO/3666,184,1526,1430,1488,4628,204,5740,3826,4351,14121
23,Afghanistan,2,2016,AFG-16/3481/SA2/APC/NGO/3667,2027,1988,727,658,5400,2027,1988,727,658,5400
23,Afghanistan,1,2016,AFG-16/3481/AFG/APC/INGO/3784,1000,1250,1875,1875,6000,246,191,355,239,1031
23,Afghanistan,1,2016,AFG-16/3481/AFG/H-WASH-ESNFI/INGO/3811,17282,17922,14082,14720,64006,20441,31570,18014,18055,88080
23,Afghanistan,1,2016,AFG-16/3481/AFG/FSAC/INGO/3812,1826,1826,2738,2738,9128,1299,1299,1950,1950,6498
23,Afghanistan,1,2016,AFG-16/3481/AFG/N/NGO/3816,421,52928,43092,41402,137843,904,63179,35030,36972,136085
23,Afghanistan,1,2016,AFG-16/3481/AFG/H-APC/INGO/3829,28301,28286,18841,18841,94269,29580,26520,21536,17455,95091
23,Afghanistan,1,2016,AFG-16/3481/AFG/ESNFI/NGO/3833,2781,2795,3899,3965,13440,2781,2795,3899,3965,13440
23,Afghanistan,1,2016,AFG-16/3481/AFG/FSAC/NGO/3839,2230,2242,3124,3177,10773,2230,2242,3124,3177,10773
23,Afghanistan,1,2016,AFG-16/3481/AFG/ESNFI/INGO/3856,1138,1200,2454,2290,7082,1229,1252,2421,2383,7285
23,Afghanistan,1,2016,AFG-16/3481/AFG/APC/INGO/3865,2534,2656,3801,3938,12929,2482,2602,3749,3886,12719
23,Afghanistan,1,2016,AFG-16/3481/RA2/CCS/UN/4432,360,0,0,0,360,74,0,0,0,74
23,Afghanistan,1,2016,AFG-16/3481/RA3/MS/INGO/4491,2,2,2,2,8,2,2,2,2,8
23,Afghanistan,2,2017,AFG-17/3481/1SA/ESNFI-APC/INGO/4961,1540,1681,8928,8840,20989,3910,3577,19237,13765,40489
23,Afghanistan,2,2017,AFG-17/3481/1SA/H/NGO/4966,9650,5044,3619,3619,21932,13469,10916,10117,8328,42830
23,Afghanistan,2,2017,AFG-17/3481/1SA/APC/INGO/4980,150,150,2430,2070,4800,104,46,2197,2086,4433
23,Afghanistan,2,2017,AFG-17/3481/1SA/APC-H/INGO/4985,1309,5863,2500,2500,12172,25016,21264,2574,2566,51420
23,Afghanistan,2,2017,AFG-17/3481/1SA/H/UN/4987,30000,180000,15000,75000,300000,9507,147760,4834,49345,211446
23,Afghanistan,2,2017,AFG-17/3481/1SA/H/INGO/5000,13899,13443,3399,3194,33935,7055,14642,3843,4244,29784
23,Afghanistan,2,2017,AFG-17/3481/1SA/H/INGO/5005,11112,1928,8495,2475,24010,12299,2453,11248,3511,29511
23,Afghanistan,2,2017,AFG-17/3481/1SA/APC/INGO/5006,42,43,2650,2650,5385,42,43,2220,2280,4585
23,Afghanistan,2,2017,AFG-17/3481/1SA/WASH-ESNFI-APC/INGO/5014,1492,3088,4274,6400,15254,2624,3331,4487,7074,17516
23,Afghanistan,2,2017,AFG-17/3481/1SA/APC-ESNFI/INGO/5015,1792,1904,3774,3730,11200,2128,2261,4480,4431,13300
23,Afghanistan,2,2017,AFG-17/3481/1SA/APC/NGO/5020,53077,55604,70769,73296,252746,63573,61821,74769,71581,271744
23,Afghanistan,2,2017,AFG-17/3481/1SA/H/INGO/5022,18159,41362,14784,15456,89761,16862,33527,10046,9631,70066
23,Afghanistan,2,2017,AFG-17/3481/1SA/WASH/INGO/5023,12950,11550,23100,22400,70000,8296,8584,12665,13097,42642
23,Afghanistan,2,2017,AFG-17/3481/1SA/ESNFI/INGO/5024,2182,2129,3246,3087,10644,2349,2292,3495,3324,11460
23,Afghanistan,2,2017,AFG-17/3481/1SA/FSAC/INGO/5031,1827,1938,3671,3079,10515,2107,2295,4045,4136,12583
23,Afghanistan,2,2017,AFG-17/3481/1SA/FSAC-ESNFI-WASH-APC-N/INGO/5032,43,44,44,44,175,43,44,44,44,175
23,Afghanistan,2,2017,AFG-17/3481/1SA/N/INGO/5040,5067,31013,9112,10696,55888,6088,50111,8329,10471,74999
23,Afghanistan,2,2017,AFG-17/3481/1SA/WASH/NGO/5042,4061,4889,8631,10384,27965,4042,4901,8644,10378,27965
23,Afghanistan,2,2017,AFG-17/3481/1SA/ESNFI/INGO/5075,3675,3675,0,0,7350,0,0,0,0,0
23,Afghanistan,2,2017,AFG-17/3481/1SA/APC/NGO/5131,46845,46845,57255,57255,208200,38085,26032,98683,78492,241292
23,Afghanistan,2,2017,AFG-17/3481/1SA/N/INGO/5146,70,12054,6941,7827,26892,95,10270,5349,7398,23112
23,Afghanistan,2,2017,AFG-17/3481/1SA/FSAC/INGO/5172,3147,3123,3483,2157,11910,1575,1901,4217,4243,11936
23,Afghanistan,2,2017,AFG-17/3481/1SA/H/UN/5183,121402,126355,148379,154435,550571,65170,67830,79652,82932,295584
23,Afghanistan,2,2017,AFG-17/3481/1SA/N/UN/5194,0,0,15180,17820,33000,0,0,15271,17926,33197
23,Afghanistan,2,2017,AFG-17/3481/1SA/N/UN/5212,0,21069,14625,14065,49759,0,21297,9378,12529,43204
23,Afghanistan,1,2017,AFG-17/3481/RA1/APC/INGO/6304,28000,28000,42000,42000,140000,9177,7710,15904,12786,45577
23,Afghanistan,2,2017,AFG-17/3481/SA2/APC-FSAC-WASH/INGO/6739,87474,92339,160348,145799,485960,134923,134352,144844,143893,558012
23,Afghanistan,2,2017,AFG-17/3481/SA2/N-APC-FSAC-WASH-CCS/INGO/6749,5474,5017,17030,20360,47881,12886,13579,10451,8309,45225
23,Afghanistan,2,2017,AFG-17/3481/SA2/H-N-APC/NGO/6764,3085,3347,7766,7566,21764,3258,4384,3913,3696,15251
23,Afghanistan,2,2017,AFG-17/3481/SA2/H-APC-WASH/INGO/6777,13464,24606,4178,4178,46426,3274,6290,1830,1688,13082
23,Afghanistan,2,2017,AFG-17/3481/SA2/FSAC-WASH-APC/NGO/6784,3941,4271,9154,8451,25817,3754,4068,8719,8050,24591
23,Afghanistan,2,2017,AFG-17/3481/SA2/H-WASH-APC/INGO/6787,25270,27755,17637,18469,89131,10308,17622,10664,9408,48002
23,Afghanistan,2,2017,AFG-17/3481/SA2/FSAC-CCS-APC/NGO/6788,12570,14566,18464,20592,66192,13543,15573,19604,21360,70080
23,Afghanistan,2,2017,AFG-17/3481/SA2/H-APC-N/NGO/6792,7346,11597,4598,8228,31769,8220,14529,6766,7722,37237
23,Afghanistan,2,2017,AFG-17/3481/SA2/FSAC-WASH-APC/INGO/6794,1230,1230,1395,1395,5250,2462,2518,3100,3711,11791
23,Afghanistan,2,2017,AFG-17/3481/SA2/APC-H-N/INGO/6797,48910,50866,36831,38335,174942,38544,69242,42595,45096,195477
23,Afghanistan,2,2017,AFG-17/3481/SA2/H-N-APC/NGO/6817,8004,8356,10999,10619,37978,22414,23229,5706,5832,57181
23,Afghanistan,2,2017,AFG-17/3481/SA2/APC/NGO/6821,77148,57861,154296,96435,385740,84884,62018,162220,98956,408078
23,Afghanistan,2,2017,AFG-17/3481/SA2/WASH-FSAC-APC/NGO/6825,9058,9102,12688,12908,43756,9771,9818,13688,13924,47201
23,Afghanistan,2,2017,AFG-17/3481/SA2/APC/NGO/6828,63333,66499,91832,94999,316663,81538,79117,87569,83133,331357
23,Afghanistan,2,2017,AFG-17/3481/SA2/H-N-WASH-APC-CCS/UN/6829,231234,424530,324350,133430,1113544,206504,379128,289662,119161,994455
23,Afghanistan,2,2017,AFG-17/3481/SA2/WASH-N-APC/INGO/6849,19344,18579,9960,10032,57915,13587,14020,9527,9637,46771
23,Afghanistan,2,2017,AFG-17/3481/SA2/CCS/INGO/6852,12,12,12,12,48,12,12,12,12,48
23,Afghanistan,2,2017,AFG-17/3481/SA2/H-N-APC/INGO/6860,8034,7546,2238,2082,19900,6906,7745,3725,2959,21335
23,Afghanistan,2,2017,AFG-17/3481/SA2/H-FSAC-APC-ESNFI-WASH-CCS/INGO/6861,10335,10829,13781,14273,49218,6421,12155,7090,7690,33356
23,Afghanistan,2,2017,AFG-17/3481/SA2/APC-WASH-ESNFI/NGO/6863,4700,7300,5200,5450,22650,4110,4654,4045,4181,16990
23,Afghanistan,1,2017,AFG-17/3481/RA2/H/UN/6886,24347,22001,16860,15750,78958,4000,3700,2800,2500,13000
23,Afghanistan,1,2017,AFG-17/3481/RA3/N/UN/7319,0,0,20738,24344,45082,0,0,13542,15898,29440
23,Afghanistan,1,2017,AFG-17/3481/RA4/H/INGO/7609,6221,581,2183,751,9736,6979,649,2978,895,11501
23,Afghanistan,1,2017,AFG-17/3481/RA4/FSAC/INGO/7611,2250,2250,3000,3000,10500,2584,2600,3990,4000,13174
23,Afghanistan,1,2017,AFG-17/3481/RA4/APC/UN/7613,2020,1940,2570,2470,9000,1819,2190,3598,3264,10871
23,Afghanistan,2,2018,AFG-18/3481/SA1/N/UN/7665,0,0,18751,22918,41669,0,0,16389,19240,35629
