AllocationYear,Cluster,BeneficiariesActualTotal,BeneficiariesPlannedTotal,Budgetbycluster,AllocationSourceName
2015,Emergency Shelter and NFI,12592,8204,305612.65,Reserve
2015,Health,24348.48,29184.48,247195.33,Standard
2015,Protection,6867.52,8231.52,69721.76,Standard
2015,Protection,11112,5400,342645.42,Standard
2015,Protection,3638,3433,313796.85,Standard
2015,Protection,148543,138000,349988.65,Standard
2015,Emergency Shelter and NFI,9562,12600,500000.56,Standard
2015,Emergency Shelter and NFI,2342,13496,499649.34,Standard
2015,Emergency Shelter and NFI,12985,14000,495793.49,Standard
2015,Food Security,14551,15400,500005.77,Standard
2015,Food Security,26299,26600,737754.94,Standard
2015,Health,24307,24464,347550.17,Standard
2015,Health,3293,29912,366480.01,Standard
2015,Health,6014,3364,382419.2,Standard
2015,Health,55164,47200,192652.43,Standard
2015,Multi-Sector,24231,24110,310869.08,Standard
2015,Multi-Sector,71494,78711,460279.87,Standard
2015,Multi-Sector,5180,4182,449999.84,Standard
2015,Nutrition,15188,14790,1100628.12,Standard
2015,Nutrition,38039,38059,1100016.09,Standard
2015,Food Security,8202,15373,498057.86,Standard
2015,Water Sanitation Hygiene,0,0,0,Standard
2015,Water Sanitation Hygiene,23294,23275,740000.42,Standard
2015,Water Sanitation Hygiene,6733,7000,259947.85,Standard
2015,Health,10399,10725,259676.25,Standard
2015,Health,41828,38550,1498207.58,Standard
2015,Health,100642,94254,445948.82,Standard
2015,Health,126896,77438,505692.91,Standard
2015,Health,117442,130396,449836.34,Standard
2015,Health,92258,29802,305000,Standard
2015,Health,18672,12830,547221.54,Standard
2015,Health,959373,883495,2829646.57,Standard
2015,Multi-Sector,90052,84570,620000,Standard
2015,Multi-Sector,71027,55000,547371.21,Standard
2015,Multi-Sector,9177,9179,573212.93,Standard
2015,Multi-Sector,15673,16399,1000000.01,Standard
2015,Multi-Sector,15751,11976,800000.27,Standard
2015,Multi-Sector,68376,68376,700116.84,Standard
2015,Multi-Sector,104824,61532,749007.56,Standard
2015,Nutrition,260,160,440000,Standard
2015,Nutrition,55243,40524,601503.37,Standard
2015,Nutrition,60255,43720,2000000.27,Standard
2015,Nutrition,24713,24100,2000637.21,Standard
2015,Water Sanitation Hygiene,51383,27925,500000,Standard
2015,Water Sanitation Hygiene,10500,10500,449975.6,Standard
2015,Water Sanitation Hygiene,32810,32387,608387.41,Standard
2015,Water Sanitation Hygiene,15986,20420,700039.5,Standard
2015,Water Sanitation Hygiene,29764,28000,700000.87,Standard
2015,Water Sanitation Hygiene,75000,94584,464631.61,Standard
2015,Water Sanitation Hygiene,39376,37900,310283.63,Standard
2015,Water Sanitation Hygiene,111806,100000,841811.8,Standard
2015,Coordination and Support Services,40,80,1611841.58,Reserve
2016,Protection,1031,6000,337734.69,Reserve
2016,Protection,12719,12929,486059.83,Reserve
2016,Emergency Shelter and NFI,7285,7082,774617.15,Reserve
2016,Emergency Shelter and NFI,13440,13440,877408.56,Reserve
2016,Food Security,6498,9128,359526.96,Reserve
2016,Food Security,10773,10773,342619.63,Reserve
2016,Health,90336.45,89555.55,417798.12,Reserve
2016,Protection,4754.55,4713.45,21989.37,Reserve
2016,Emergency Shelter and NFI,8808,6400.6,88092.41,Reserve
2016,Health,70464,51204.8,704739.25,Reserve
2016,Water Sanitation Hygiene,8808,6400.6,88092.41,Reserve
2016,Nutrition,136085,137843,214880.03,Reserve
2016,Coordination and Support Services,,80,1270516.93,Reserve
2016,Coordination and Support Services,74,360,43611.06,Reserve
2016,Multi-Sector,8,8,50000.01,Reserve
2016,Protection,24399,11600,276876.34,Standard
2016,Emergency Shelter and NFI,18.4,18.4,70802.54,Standard
2016,Food Security,18.4,18.4,70802.54,Standard
2016,Nutrition,18.4,18.4,70802.54,Standard
2016,Protection,18.4,18.4,70802.54,Standard
2016,Water Sanitation Hygiene,18.4,18.4,70802.54,Standard
2016,Emergency Shelter and NFI,1.6,1.6,174732.66,Standard
2016,Food Security,0.6,0.6,65524.75,Standard
2016,Nutrition,0.6,0.6,65524.75,Standard
2016,Protection,0.4,0.4,43683.17,Standard
2016,Water Sanitation Hygiene,0.8,0.8,87366.33,Standard
2016,Emergency Shelter and NFI,0.8,0.8,135134.45,Standard
2016,Food Security,0.6,0.6,101350.84,Standard
2016,Nutrition,0.6,0.6,101350.84,Standard
2016,Protection,1.2,1.2,202701.67,Standard
2016,Water Sanitation Hygiene,0.8,0.8,135134.45,Standard
2016,Emergency Shelter and NFI,12749.5,14000,493771.39,Standard
2016,Food Security,12749.5,14000,493771.39,Standard
2016,Emergency Shelter and NFI,4790,5600,241540.52,Standard
2016,Emergency Shelter and NFI,2806.02,2380,101269.91,Standard
2016,Food Security,13699.98,11620,494435.47,Standard
2016,Food Security,12600,12600,532077.27,Standard
2016,Water Sanitation Hygiene,4200,4200,177359.09,Standard
2016,Health,15348,14085,371959.27,Standard
2016,Health,38181,36966,1372921.28,Standard
2016,Health,66489,48320,621979.79,Standard
2016,Health,101622,51057,542344.8,Standard
2016,Health,29508,190000,295025.9,Standard
2016,Health,12544,15656,465728.41,Standard
2016,Health,29363,26611,578567.06,Standard
2016,Health,182169,229834,425756.77,Standard
2016,Health,5442,5743,214553.19,Standard
2016,Health,657966,676830,3150329.55,Standard
2016,Nutrition,267,370,467108.74,Standard
2016,Health,58686.6,38515.2,263019.34,Standard
2016,Protection,39124.4,25676.8,175346.22,Standard
2016,Protection,626,4,337321.93,Standard
2016,Protection,193814,124479,476007.05,Standard
2016,Protection,99941,48585,250845.02,Standard
2016,Protection,12901,9156,354798.09,Standard
2016,Protection,141481,122577,251903.68,Standard
2016,Protection,138123,130583,160834.52,Standard
2016,Protection,5400,5400,446072.3,Standard
2016,Emergency Shelter and NFI,1398,1398,747885.72,Standard
2016,Emergency Shelter and NFI,2819,2254,795370.61,Standard
2016,Emergency Shelter and NFI,2689,1130,503256.14,Standard
2016,Emergency Shelter and NFI,35,28,205618.69,Standard
2016,Emergency Shelter and NFI,1216,1213,400722.42,Standard
2016,Food Security,10707,7070,254167.8,Standard
2016,Food Security,13612,11900,613329.21,Standard
2016,Food Security,5601,5601,201514.91,Standard
2016,Food Security,23115,20020,385559.67,Standard
2016,Food Security,11671,10500,373582.37,Standard
2016,Food Security,40110,40110,983859.65,Standard
2016,Health,57563.66,52573.29,261261.31,Standard
2016,Protection,17194.34,15703.71,78039.09,Standard
2016,Health,7744,50559,483225.12,Standard
2016,Health,8385,6859,367396.34,Standard
2016,Emergency Shelter and NFI,3268,2800,260000,Standard
2016,Health,37987,47413,463757.83,Standard
2016,Health,6621,6960,258678.92,Standard
2016,Health,293393,297989,2482549.65,Standard
2016,Nutrition,17173,10757,435513.75,Standard
2016,Nutrition,280,176,455811.9,Standard
2016,Nutrition,14405,13640,487754.29,Standard
2016,Nutrition,14121,4628,348924.86,Standard
2016,Nutrition,12915,13817,867487.87,Standard
2016,Nutrition,118548,72800,3489029.79,Standard
2016,Health,18000.23,13191.97,215420.73,Standard
2016,Water Sanitation Hygiene,23860.77,17487.03,285557.72,Standard
2016,Water Sanitation Hygiene,23693,76440,656447.46,Standard
2016,Water Sanitation Hygiene,13190,13195,451864,Standard
2016,Water Sanitation Hygiene,10402,9842,362895.38,Standard
2017,Emergency Shelter and NFI,13300,11200,284780.39,Standard
2017,Health,17997,4260.2,251725.51,Standard
2017,Protection,33423,7911.8,467490.23,Standard
2017,Protection,4433,4800,550889.55,Standard
2017,Protection,4585,5385,477390.63,Standard
2017,Protection,271744,252746,527889.85,Standard
2017,Protection,241292,208200,362926.84,Standard
2017,Emergency Shelter and NFI,14171.15,7346.15,743992.04,Standard
2017,Protection,26317.85,13642.85,1381699.51,Standard
2017,Emergency Shelter and NFI,11460,10644,420000.01,Standard
2017,Emergency Shelter and NFI,0,7350,363770.92,Standard
2017,Emergency Shelter and NFI,29.75,29.75,109280.97,Standard
2017,Food Security,57.75,57.75,212133.65,Standard
2017,Nutrition,8.75,8.75,32141.46,Standard
2017,Protection,49,49,179992.18,Standard
2017,Water Sanitation Hygiene,29.75,29.75,109280.97,Standard
2017,Food Security,12583,10515,501002.6,Standard
2017,Food Security,11936,11910,491637.98,Standard
2017,Health,29784,33935,248685.58,Standard
2017,Health,29511,24010,1185709.59,Standard
2017,Health,70066,89761,480000,Standard
2017,Health,42830,21932,463266.3,Standard
2017,Health,211446,300000,384761,Standard
2017,Health,295584,550571,2293570.04,Standard
2017,Nutrition,74999,55888,584551.65,Standard
2017,Nutrition,23112,26892,629861.18,Standard
2017,Nutrition,33197,33000,2294574.43,Standard
2017,Nutrition,43204,49759,3110556.6,Standard
2017,Emergency Shelter and NFI,5780.28,5033.82,242375.41,Standard
2017,Protection,5955.44,5186.36,249720.12,Standard
2017,Water Sanitation Hygiene,5780.28,5033.82,242375.41,Standard
2017,Water Sanitation Hygiene,42642,70000,784454.01,Standard
2017,Water Sanitation Hygiene,27965,27965,269952.11,Standard
2017,Protection,45577,140000,102640.61,Reserve
2017,Health,13000,78958,46897.84,Reserve
2017,Nutrition,29440,45082,2501675.52,Reserve
2017,Protection,10871,9000,668178.11,Reserve
2017,Food Security,13174,10500,400000,Reserve
2017,Health,11501,9736,380803.37,Reserve
2017,Food Security,262265.64,228401.2,694516.2,Standard
2017,Protection,55801.2,48596,147769.4,Standard
2017,Water Sanitation Hygiene,239945.16,208962.8,635408.44,Standard
2017,Health,78190.8,69976.8,414221.82,Standard
2017,Nutrition,39095.4,34988.4,207110.91,Standard
2017,Protection,78190.8,69976.8,414221.82,Standard
2017,Emergency Shelter and NFI,5097,6795,245802.54,Standard
2017,Protection,6965.9,9286.5,335930.14,Standard
2017,Water Sanitation Hygiene,4927.1,6568.5,237609.12,Standard
2017,Protection,408078,385740,399916.23,Standard
2017,Protection,331357,316663,374122.29,Standard
2017,Coordination and Support Services,48,48,575080.93,Standard
2017,Coordination and Support Services,10512,9928.8,104090.79,Standard
2017,Food Security,45552,43024.8,451060.09,Standard
2017,Protection,14016,13238.4,138787.72,Standard
2017,Food Security,6485.05,2887.5,241128.65,Standard
2017,Protection,2358.2,1050,87683.14,Standard
2017,Water Sanitation Hygiene,2947.75,1312.5,109603.93,Standard
2017,Food Security,7377.3,7745.1,350125.29,Standard
2017,Protection,8606.85,9035.95,408479.51,Standard
2017,Water Sanitation Hygiene,8606.85,9035.95,408479.51,Standard
2017,Health,26065.9,22238.3,602616.19,Standard
2017,Nutrition,1861.85,1588.45,43044.01,Standard
2017,Protection,9309.25,7942.25,215220.07,Standard
2017,Health,7849.2,27855.6,413561.12,Standard
2017,Protection,3924.6,13927.8,206780.56,Standard
2017,Water Sanitation Hygiene,1308.2,4642.6,68926.85,Standard
2017,Coordination and Support Services,1000.68,1476.54,29392.75,Standard
2017,Emergency Shelter and NFI,3335.6,4921.8,97975.83,Standard
2017,Food Security,9339.68,13781.04,274332.32,Standard
2017,Health,13675.96,20179.38,401700.9,Standard
2017,Protection,3669.16,5413.98,107773.41,Standard
2017,Water Sanitation Hygiene,2334.92,3445.26,68583.08,Standard
2017,Health,12801,11940,433290,Standard
2017,Nutrition,4267,3980,144430,Standard
2017,Protection,4267,3980,144430,Standard
2017,Health,9150.6,13058.4,420853.44,Standard
2017,Nutrition,2287.65,3264.6,105213.36,Standard
2017,Protection,3812.75,5441,175355.6,Standard
2017,Health,34308.6,22786.8,338888.08,Standard
2017,Nutrition,11436.2,7595.6,112962.69,Standard
2017,Protection,11436.2,7595.6,112962.69,Standard
2017,Coordination and Support Services,49722.75,55677.2,218831.08,Standard
2017,Health,696118.5,779480.8,3063635.06,Standard
2017,Nutrition,99445.5,111354.4,437662.15,Standard
2017,Protection,49722.75,55677.2,218831.08,Standard
2017,Water Sanitation Hygiene,99445.5,111354.4,437662.15,Standard
2017,Health,18240.76,33869.78,319982.42,Standard
2017,Protection,4800.2,8913.1,84205.9,Standard
2017,Water Sanitation Hygiene,24961.04,46348.12,437870.68,Standard
2017,Coordination and Support Services,11306.25,11970.25,404993.48,Standard
2017,Food Security,8592.75,9097.39,307795.05,Standard
2017,Nutrition,9045,9576.2,323994.79,Standard
2017,Protection,5879.25,6224.53,210596.61,Standard
2017,Water Sanitation Hygiene,10401.75,11012.63,372594,Standard
2017,Food Security,11328.24,10501.44,199766.02,Standard
2017,Protection,4248.09,3938.04,74912.26,Standard
2017,Water Sanitation Hygiene,31624.67,29316.52,557680.13,Standard
2017,Nutrition,9354.2,11583,136706.05,Standard
2017,Protection,7015.65,8687.25,102529.54,Standard
2017,Water Sanitation Hygiene,30401.15,37644.75,444294.66,Standard
2018,Water Sanitation Hygiene,32362,70394,367000,Reserve
2018,Coordination and Support Services,,4590,399871.99,Reserve
2018,Coordination and Support Services,6872,16000,836832.42,Reserve
2018,Emergency Shelter and NFI,,14490,884000.02,Reserve
2018,Emergency Shelter and NFI,,14000,671056.92,Reserve
2018,Emergency Shelter and NFI,,10045,940400.1,Reserve
2018,Emergency Shelter and NFI,,13650,500000.3,Reserve
2018,Health,,28000,225000,Reserve
2018,Health,,134479,253121.25,Reserve
2018,Health,,54010,258877.69,Reserve
2018,Health,,10008,258517.85,Reserve
2018,Health,,65370,233753.26,Reserve
2018,Health,,22500,204536.96,Reserve
2018,Health,,247875,1184404.36,Reserve
2018,Food Security,,47600,699999.72,Reserve
2018,Food Security,,59500,800000.18,Reserve
2018,Food Security,,76230,1500000.15,Reserve
2018,Emergency Shelter and NFI,,105700,8758844.05,Reserve
2018,Education,1961.4,6003.6,436092.23,Standard
2018,Protection,1307.6,4002.4,290728.15,Standard
2018,Education,7857,24145,1343028.58,Standard
2018,Emergency Shelter and NFI,12441.52,12630.8,352831.39,Standard
2018,Water Sanitation Hygiene,11484.48,11659.2,325690.51,Standard
2018,Emergency Shelter and NFI,6844,6330,297298.43,Standard
2018,Emergency Shelter and NFI,6117,5915,350000.21,Standard
2018,Emergency Shelter and NFI,0,4970,399859.16,Standard
2018,Emergency Shelter and NFI,12600,12600,413706.3,Standard
2018,Emergency Shelter and NFI,2039.25,6537.5,162881.02,Standard
2018,Protection,6117.75,19612.5,488643.05,Standard
2018,Health,2631.75,7938.75,415866.73,Standard
2018,Protection,877.25,2646.25,138622.24,Standard
2018,Health,20737.35,17638.2,196852.37,Standard
2018,Nutrition,8294.94,7055.28,78740.95,Standard
2018,Protection,17050.71,14502.52,161856.39,Standard
2018,Health,20565.36,47199.78,257720.51,Standard
2018,Nutrition,17518.64,40207.22,219539.69,Standard
2018,Health,7913.28,7571.52,298392.63,Standard
2018,Water Sanitation Hygiene,8572.72,8202.48,323258.69,Standard
2018,Health,7547,9677,904332.97,Standard
2018,Health,,218379,830618.64,Standard
2018,Nutrition,4621.12,23546.32,715354.7,Standard
2018,Protection,1402.84,7147.99,217161.25,Standard
2018,Water Sanitation Hygiene,2228.04,11352.69,344903.16,Standard
2018,Nutrition,35629,41669,2657554.61,Standard
2018,Nutrition,11681,68973,3054085.85,Standard
2018,Emergency Shelter and NFI,6379.12,7726.4,269219.87,Standard
2018,Protection,1304.82,1580.4,55067.7,Standard
2018,Water Sanitation Hygiene,6814.06,8253.2,287575.77,Standard
2018,Emergency Shelter and NFI,1149.6,2624.2,121437.08,Standard
2018,Water Sanitation Hygiene,4598.4,10496.8,485748.33,Standard
2018,Emergency Shelter and NFI,2794.05,2322.6,43928.85,Standard
2018,Water Sanitation Hygiene,10510.95,8737.4,165256.15,Standard
2018,Protection,10090,22820,239567.65,Standard
2018,Water Sanitation Hygiene,17755,52398,350000,Standard
2018,Water Sanitation Hygiene,53643,113400,800000,Standard
2018,Protection,,6200,501000.77,Standard
2018,Protection,,12800,302430.15,Standard
2018,Food Security,,47102.72,559111.67,Standard
2018,Water Sanitation Hygiene,,37009.28,439302.02,Standard
2018,Food Security,,38500,1275000.42,Standard
2018,Food Security,,8591,369429.88,Standard
2018,Food Security,,56700,987500,Standard
2018,Food Security,,8400,561249.24,Standard
2018,Nutrition,,22885.8,200616.32,Standard
2018,Protection,,15257.2,133744.21,Standard
2018,Food Security,,23618.24,686783.49,Standard
2018,Nutrition,,22591.36,656923.34,Standard
2018,Water Sanitation Hygiene,,5134.4,149300.76,Standard
2018,Nutrition,,18744.4,400000,Standard
2018,Protection,,9372.2,200000,Standard
2018,Water Sanitation Hygiene,,18744.4,400000,Standard
2018,Nutrition,,13143,823000,Standard
2018,Nutrition,,9220,380831.4,Standard
2018,Nutrition,,16180,244030.66,Standard
2018,Nutrition,,73207,309424.1,Standard
2018,Nutrition,,9721,874414.73,Standard
2018,Protection,,10204.2,74199.37,Standard
2018,Water Sanitation Hygiene,,40816.8,296797.48,Standard
2018,Protection,,25084.8,265752.09,Standard
2018,Water Sanitation Hygiene,,27175.2,287898.1,Standard
2018,Protection,,12600,164086.64,Standard
2018,Water Sanitation Hygiene,,18900,246129.96,Standard
2018,Food Security,,6609,842100,Standard
2018,Water Sanitation Hygiene,,15421,1964900,Standard
2018,Water Sanitation Hygiene,,19101,386461.23,Standard
2018,Water Sanitation Hygiene,,30360,509196.74,Standard
2018,Water Sanitation Hygiene,,28553,449976.28,Standard
2014,Education,,1449,74611.1,Reserve
2014,Education,32828,23270,200000.12,Reserve
2014,Education,28817,28540,199999.44,Reserve
2014,Protection,,9500,391021.01,Standard
2014,Food Security,,30000,355000.32,Standard
2014,Health,141336,229500,1000004.88,Standard
2014,Emergency Shelter and NFI,14197.44,17250,517725.49,Standard
2014,Water Sanitation Hygiene,6378.56,7750,232601.31,Standard
2014,Emergency Shelter and NFI,,7500,830183.29,Standard
2014,Nutrition,28576.06,28576.06,452695.87,Standard
2014,Protection,19857.94,19857.94,314585.27,Standard
2014,Emergency Shelter and NFI,,3680,136152.86,Standard
2014,Protection,,2080,76955.96,Standard
2014,Water Sanitation Hygiene,,10240,378860.12,Standard
2014,Protection,0,15000,540000.72,Standard
2014,Protection,25650,21060,644356.14,Standard
2014,Water Sanitation Hygiene,,77643,510244.08,Standard
2014,Camp Coordination / Management,0,57614,373002.47,Standard
2014,Food Security,8320,8320,232500.94,Standard
2014,Nutrition,28407,97121,198116.92,Standard
2014,Education,17633.76,4780.8,224160.05,Standard
2014,Protection,19103.24,5179.2,242840.05,Standard
2014,Protection,,50000,185999.64,Standard
2014,Protection,4725,4725,384293.79,Standard
2014,Water Sanitation Hygiene,5775,5775,469692.41,Standard
2014,Water Sanitation Hygiene,,44996,335354.4,Standard
2014,Education,0,10338,50000.03,Reserve
2014,Early Recovery,,34273,250000,Reserve
2014,Emergency Telecommunications,,35,219264.4,Reserve
2014,Emergency Shelter and NFI,1136,1136,300001.11,Reserve
2014,Emergency Shelter and NFI,20446,9010,300000,Reserve
2014,Water Sanitation Hygiene,,2161,250000.42,Reserve
2014,Water Sanitation Hygiene,0,14617,200000.22,Reserve
2014,Food Security,18315.44,14456,370228.56,Standard
2014,Health,16906.56,13344,341749.44,Standard
2014,Emergency Shelter and NFI,,1933,300000.31,Standard
2014,Nutrition,126000,138353,403041.18,Standard
2014,Emergency Shelter and NFI,14386.68,18132.12,578567.71,Standard
2014,Food Security,10790.01,13599.09,433925.78,Standard
2014,Protection,5195.19,6547.71,208927.23,Standard
2014,Water Sanitation Hygiene,9591.12,12088.08,385711.81,Standard
2014,Protection,,580,150000.09,Standard
2014,Coordination and Support Services,60,60,497550,Standard
2014,Education,6325,6325,250005.5,Standard
2014,Education,457,400,50000.03,Standard
2014,Education,31840,30475,499999.6,Standard
2014,Food Security,34200,13070,563158.33,Standard
2014,Health,16948.83,11408.19,335025.42,Standard
2014,Protection,16284.17,10960.81,321887.17,Standard
2014,Health,42372,18751,540009.56,Standard
2014,Health,86623,172207,470000.37,Standard
2014,Health,151748,151748,49465.03,Standard
2014,Nutrition,12700,14585,373000,Standard
2014,Nutrition,4324,4000,400000.24,Standard
2014,Protection,61551,24695,420000.36,Standard
2014,Protection,7278,4640,50000.03,Standard
2014,Protection,225062,121700,182849.77,Standard
2014,Water Sanitation Hygiene,90064,90064,795978.23,Standard
2014,Water Sanitation Hygiene,45501,41950,750002.04,Standard
2015,Education,10057,9956,370069.13,Standard
2015,Education,12238,10402,185065.66,Standard
2015,Education,12713,10144,400000.24,Standard
2015,Early Recovery,7560,7560,300750.59,Standard
2015,Early Recovery,10287,4805,300406.57,Standard
2015,Early Recovery,33000,66809,92532.65,Standard
2015,Early Recovery,15660,15660,138768.3,Standard
2015,Food Security,5284,5480,277265.89,Standard
2015,Food Security,13261,10000,416341.3,Standard
2015,Food Security,4399,4200,369680.19,Standard
2015,Food Security,21858,14700,300731.21,Standard
2015,Food Security,,2400,46266.16,Standard
2015,Health,43373,32032,277598.02,Standard
2015,Protection,0,0,0,Standard
2015,Health,41588,43705,739765.96,Standard
2015,Health,26746,22909,462339.04,Standard
2015,Health,11000,21525,740051.59,Standard
2015,Logistics,48000,35000,581978.35,Standard
2015,Emergency Shelter and NFI,28134,23154,346997.53,Standard
2015,Emergency Shelter and NFI,8262,5000,404686.36,Standard
2015,Emergency Shelter and NFI,950,950,46240.05,Standard
2015,Emergency Shelter and NFI,,28087,350000,Standard
2015,Nutrition,8522,2386,92490.05,Standard
2015,Nutrition,3519,11378,185065.06,Standard
2015,Nutrition,2950,3353,369833.16,Standard
2015,Nutrition,18613,18613,184157.7,Standard
2015,Nutrition,24108,16700,277598.55,Standard
2015,Nutrition,7563,8056,400000.67,Standard
2015,Protection,3867,18625,277598.7,Standard
2015,Protection,1970,6860,419656.14,Standard
2015,Protection,3252,3252,231332.32,Standard
2015,Protection,1001,800,799999.99,Standard
2015,Water Sanitation Hygiene,0,523,92350.42,Standard
2015,Water Sanitation Hygiene,40811,32232,367600.42,Standard
2015,Water Sanitation Hygiene,34031,30186,476514.44,Standard
2015,Water Sanitation Hygiene,8051,7300,92532.67,Standard
2015,Water Sanitation Hygiene,46000,49700,481170.3,Standard
2015,Camp Coordination / Management,21098,20163,150000,Reserve
2015,Camp Coordination / Management,28062,20000,191882.09,Reserve
2015,Camp Coordination / Management,12423,10028,99750,Reserve
2015,Camp Coordination / Management,8326,13432,99750,Reserve
2015,Camp Coordination / Management,18363,18363,1495204.09,Reserve
2015,Food Security,15000,9000,1000000.01,Reserve
2015,Emergency Shelter and NFI,83652,115000,1000466.05,Reserve
2015,Health,0,0,0,Reserve
2015,Nutrition,2083,2040,349322.15,Reserve
2015,Education,6513,6215,403905.73,Standard
2015,Education,5008,4636,280374.24,Standard
2015,Education,,7509,250000.59,Standard
2015,Early Recovery,8450,16900,560733.5,Standard
2015,Early Recovery,162,120,467257.17,Standard
2015,Early Recovery,179,145,371423.75,Standard
2015,Early Recovery,14402,13840,97201.8,Standard
2015,Food Security,21603,20760,145802.69,Standard
2015,Food Security,28300,28300,625037,Standard
2015,Food Security,5000,5000,160000,Standard
2015,Health,8220,11610,149999.56,Standard
2015,Nutrition,0,0,0,Standard
2015,Protection,0,0,0,Standard
2015,Health,57110.25,33855,225000.02,Standard
2015,Protection,19036.75,11285,75000.01,Standard
2015,Health,42777,42345,540000.11,Standard
2015,Health,9779,39188,399963.12,Standard
2015,Emergency Shelter and NFI,8616,16500,560869.39,Standard
2015,Nutrition,7394,15070,510069,Standard
2015,Early Recovery,2641.8,750,280373.4,Standard
2015,Protection,1761.2,500,186915.6,Standard
2015,Health,3225,3250,58250.54,Standard
2015,Protection,9675,9750,174751.61,Standard
2015,Protection,2193,6940,560638.64,Standard
2015,Protection,15599,14530,500546,Standard
2015,Protection,11070,13150,415094,Standard
2015,Water Sanitation Hygiene,81566,55000,654173.39,Standard
2015,Water Sanitation Hygiene,16865,17450,280374.61,Standard
2016,Camp Coordination / Management,0,28062,243999.61,Standard
2016,Education,10744,10758,300000,Standard
2016,Education,17820,20711,49999.99,Standard
2016,Education,2563,2563,50000,Standard
2016,Food Security,5237,6750,370000.03,Standard
2016,Food Security,3000,5187,359999.84,Standard
2016,Food Security,5000,5000,250000,Standard
2016,Food Security,4950,4950,180000.19,Standard
2016,Food Security,3200,3100,240000,Standard
2016,Health,14254,16774.2,79978.65,Standard
2016,Protection,57016,67096.8,319914.59,Standard
2016,Health,74888,47661,550000.34,Standard
2016,Health,90426,90426,301864.19,Standard
2016,Health,9120,22550,199797.89,Standard
2016,Health,8695,17933,349993.79,Standard
2016,Health,0,3600,49998.96,Standard
2016,Emergency Shelter and NFI,19910,17766,205000.23,Standard
2016,Emergency Shelter and NFI,25,25,100000,Standard
2016,Emergency Shelter and NFI,1564,1733,230001.44,Standard
2016,Emergency Shelter and NFI,20361,19687,219582.19,Standard
2016,Health,45.45,189.6,15000.01,Standard
2016,Nutrition,863.55,3602.4,285000.17,Standard
2016,Nutrition,9903,16899,400001.31,Standard
2016,Protection,76391,128900,200000,Standard
2016,Protection,33990,32613,300023.35,Standard
2016,Protection,11320,11654,200000,Standard
2016,Protection,641132,600142,100000.02,Standard
2016,Protection,22801,19200,150179.85,Standard
2016,Protection,25500,15900,200000.12,Standard
2016,Health,387.45,500,16999.95,Standard
2016,Nutrition,1937.25,2500,84999.73,Standard
2016,Water Sanitation Hygiene,5424.3,7000,237999.24,Standard
2016,Water Sanitation Hygiene,12172,20000,350000,Standard
2016,Water Sanitation Hygiene,12616,8129,285000.81,Standard
2016,Water Sanitation Hygiene,0,40,100001.13,Standard
2016,Water Sanitation Hygiene,98829,15000,346500.87,Standard
2016,Water Sanitation Hygiene,7401,11594,275112.86,Standard
2016,Water Sanitation Hygiene,31000,16500,350444.81,Standard
2016,Camp Coordination / Management,30802,30902,249887.27,Standard
